Player_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1642355,"APR 25, 2025",LAL @ MIN,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1629216,"APR 30, 2025",LAL vs. MIN,L,26,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,2,0,0,0,3,0,5
1642261,"APR 25, 2025",LAL @ MIN,L,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1629020,"APR 30, 2025",LAL vs. MIN,L,19,0,1,0.0,0,0,0.0,2,2,1.0,1,6,7,3,1,0,1,3,2,3
1630568,"MAY 28, 2025",MIN @ OKC,L,7,2,2,1.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,4,4
1631159,"MAY 24, 2025",MIN vs. OKC,W,8,5,6,0.833,1,1,1.0,0,0,0.0,2,1,3,0,0,0,1,0,11,0
203944,"MAY 28, 2025",MIN @ OKC,L,31,8,14,0.571,4,6,0.667,4,5,0.8,1,4,5,3,1,0,4,2,24,-28
203497,"MAY 28, 2025",MIN @ OKC,L,19,1,1,1.0,0,0,0.0,0,0,0.0,1,4,5,1,0,1,1,2,2,-7
1641740,"MAY 28, 2025",MIN @ OKC,L,7,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,2,4
1629675,"MAY 28, 2025",MIN @ OKC,L,24,5,6,0.833,1,1,1.0,0,0,0.0,2,3,5,0,1,3,5,4,11,-21
201144,"MAY 28, 2025",MIN @ OKC,L,21,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,2,1,1,2,0,-22
1629638,"MAY 28, 2025",MIN @ OKC,L,20,0,8,0.0,0,4,0.0,0,0,0.0,0,2,2,3,0,0,2,1,0,-12
1631169,"MAY 28, 2025",MIN @ OKC,L,7,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,0,3,4
1630162,"MAY 28, 2025",MIN @ OKC,L,39,7,18,0.389,1,7,0.143,4,6,0.667,0,6,6,2,0,1,3,2,19,-29
1642265,"MAY 28, 2025",MIN @ OKC,L,7,3,5,0.6,1,1,1.0,0,0,0.0,0,1,1,2,0,0,0,1,7,4
1630183,"MAY 28, 2025",MIN @ OKC,L,21,2,13,0.154,1,5,0.2,0,0,0.0,2,3,5,1,0,0,1,1,5,-16
1628978,"MAY 28, 2025",MIN @ OKC,L,22,2,4,0.5,2,4,0.5,0,0,0.0,0,6,6,2,1,0,2,2,6,-21
1630545,"MAY 28, 2025",MIN @ OKC,L,16,3,8,0.375,1,3,0.333,4,4,1.0,0,1,1,0,1,0,1,3,11,-10
203932,"MAY 18, 2025",DEN @ OKC,L,25,2,4,0.5,1,3,0.333,3,3,1.0,4,7,11,0,0,0,4,1,8,-9
1628427,"MAY 07, 2025",DEN @ OKC,L,7,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,0
1627750,"MAY 18, 2025",DEN @ OKC,L,35,6,16,0.375,1,8,0.125,0,0,0.0,0,1,1,2,3,1,2,1,13,-21
1629618,"MAY 18, 2025",DEN @ OKC,L,10,2,5,0.4,2,5,0.4,0,0,0.0,0,2,2,2,0,0,0,0,6,0
1630192,"MAY 18, 2025",DEN @ OKC,L,10,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,0
203999,"MAY 18, 2025",DEN @ OKC,L,37,5,9,0.556,1,2,0.5,9,11,0.818,1,8,9,7,0,0,5,3,20,-23
1631212,"MAY 18, 2025",DEN @ OKC,L,20,1,8,0.125,0,3,0.0,2,4,0.5,2,2,4,2,0,1,2,1,4,-27
201599,"MAY 07, 2025",DEN @ OKC,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,-3
1641816,"MAY 18, 2025",DEN @ OKC,L,10,2,3,0.667,1,2,0.5,0,0,0.0,2,1,3,1,0,0,0,2,5,0
201566,"MAY 18, 2025",DEN @ OKC,L,22,2,7,0.286,2,5,0.4,0,0,0.0,1,4,5,2,0,0,4,3,6,-34
1631124,"MAY 18, 2025",DEN @ OKC,L,18,3,8,0.375,0,2,0.0,0,0,0.0,1,2,3,0,1,0,3,0,6,-10
1629008,"MAY 18, 2025",DEN @ OKC,L,23,3,8,0.375,0,4,0.0,0,0,0.0,2,1,3,1,1,0,0,2,6,-8
1631128,"MAY 18, 2025",DEN @ OKC,L,33,7,14,0.5,2,8,0.25,3,4,0.75,2,2,4,3,1,0,2,5,19,-28
201988,"APR 24, 2025",LAC vs. DEN,W,4,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,1,3,6
1627884,"MAY 03, 2025",LAC @ DEN,L,17,5,10,0.5,1,4,0.25,1,4,0.25,1,1,2,0,1,3,1,0,12,-11
1627826,"MAY 03, 2025",LAC @ DEN,L,32,5,10,0.5,0,0,0.0,0,2,0.0,2,12,14,2,1,0,3,3,10,-17
201587,"MAY 03, 2025",LAC @ DEN,L,28,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,2,1,2,0,2,3,-27
1627732,"APR 29, 2025",LAC @ DEN,L,5,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,-4
1626181,"MAY 03, 2025",LAC @ DEN,L,32,4,11,0.364,0,3,0.0,1,1,1.0,0,2,2,2,0,1,3,3,9,-31
1641738,"MAY 03, 2025",LAC @ DEN,L,8,6,7,0.857,0,0,0.0,1,1,1.0,0,0,0,3,0,0,0,0,13,13
1629234,"MAY 03, 2025",LAC @ DEN,L,7,0,1,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,1,1,11
1642353,"MAY 03, 2025",LAC @ DEN,L,7,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,5,11
1641757,"MAY 03, 2025",LAC @ DEN,L,7,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,4,2,0,0,0,4,11
